key,EN,JA,zh-Hans,zh-Hant,notes
appName,Form,Form,Form,Form,
cancel,Cancel,キャンセル,取消,取消,
save,Save,保存,保存,儲存,
delete,Delete,削除,删除,刪除,
discard,Discard,破棄,舍弃,捨棄,
continueAction,Continue,続行,继续,繼續,
done,Done,完了,完成,完成,
remove,Remove,削除,移除,移除,
add,Add,追加,添加,新增,
settings,Settings,設定,设置,設定,
close,Close,閉じる,关闭,關閉,
untitled,Untitled,無題,未命名,未命名,
open,Open,開く,打开,開啟,
change,Change,変更,更改,變更,
export,Export,エクスポート,导出,匯出,
publish,Publish,公開,发布,發佈,
unlink,Unlink,リンク解除,取消关联,取消連結,
duplicate,Duplicate,複製,复制,複製,
rename,Rename,名前を変更,重命名,重新命名,
renameForm,Rename form,フォームの名前を変更,重命名表单,重新命名表單,
enterNewName,Enter new name,新しい名前を入力,输入新名称,輸入新名稱,
documentName,Document name,ドキュメント名,文档名称,文件名稱,
formRenamed,Form renamed,フォームの名前を変更しました,表单已重命名,表單已重新命名,
failedToRename,Failed to rename form,フォームの名前を変更できませんでした,重命名表单失败,重新命名表單失敗,
required,Required,必須,必填,必填,
optional,Optional,任意,选填,選填,
other,Other,その他,其他,其他,
description,Description,説明,说明,說明,
question,Question,質問,问题,問題,
columns,Columns,列,列,欄,
rows,Rows,行,行,列,
image,Image,画像,图片,圖片,
video,Video,動画,视频,影片,
owner,Owner,オーナー,所有者,擁有者,
loginSubtitle,Create and manage forms on the go,外出先でもフォームを作成・管理,随时随地创建和管理表单,隨時隨地建立同管理表單,
signInWithGoogle,Sign in with Google,Google でログイン,使用 Google 账号登录,使用 Google 登入,
signInFailed,Sign in failed. Please try again.,ログインに失敗しました。もう一度お試しください。,登录失败，请重试。,登入失敗，請再試一次。,
tabMyForms,My forms,マイフォーム,我的表单,我的表單,
tabTemplates,Templates,テンプレート,模板,範本,
searchForms,Search your forms,フォームを検索,搜索您的表单,搜尋你的表單,
searchTemplates,Search templates,テンプレートを検索,搜索模板,搜尋範本,
recentForms,Recent forms,最近のフォーム,最近的表单,近期表單,
noRecentForms,No recent forms,最近のフォームはありません,没有最近的表单,沒有近期表單,
noFormsMatching,"No forms matching ""{query}""",「{query}」に一致するフォームはありません,没有符合「{query}」的表单,沒有符合「{query}」的表單,keep {query}
tryDifferentSearch,Try a different search term,別の検索語をお試しください,尝试其他搜索词,嘗試其他搜尋字詞,
noTemplatesMatching,"No templates matching ""{query}""",「{query}」に一致するテンプレートはありません,没有符合「{query}」的模板,沒有符合「{query}」的範本,keep {query}
tryDifferentSearchOrCategory,Try a different search term or category,別の検索語またはカテゴリをお試しください,尝试其他搜索词或类别,嘗試其他搜尋字詞或分類,
thisIsTheEnd,-This is the end-,-これ以上ありません-,-已经到底了-,已經到底了,
linkCopiedToClipboard,Link copied to clipboard,リンクをクリップボードにコピーしました,链接已复制到剪贴板,連結已複製到剪貼簿,
deleteFormTitle,Delete form?,フォームを削除しますか？,删除表单？,刪除表單？,
deleteFormContent,This form will be moved to trash.,このフォームはゴミ箱に移動されます。,此表单将移至回收站。,此表單將會被移至垃圾桶。,
formMovedToTrash,Form moved to trash,フォームをゴミ箱に移動しました,表单已移至回收站,表單已移至垃圾桶,
failedToDeleteForm,Failed to delete form,フォームを削除できませんでした,无法删除表单,無法刪除表單,
duplicatingForm,Duplicating form...,フォームを複製しています…,正在复制表单…,正在複製表單…,
formDuplicated,Form duplicated!,フォームを複製しました！,表单已复制！,表單已複製！,
failedToDuplicateForm,Failed to duplicate form,フォームを複製できませんでした,无法复制表单,無法複製表單,
templateComingSoon,Template coming soon!,テンプレートは近日公開！,模板即将推出！,範本即將推出！,
loadingTemplate,Loading template...,テンプレートを読み込んでいます…,正在加载模板…,正在載入範本…,
failedToLoadTemplate,Failed to load template. Please try again.,テンプレートを読み込めませんでした。もう一度お試しください。,无法加载模板，请重试。,無法載入範本，請再試一次。,
soon,Soon,近日公開,即将推出,即將推出,
templateCount,"{count, plural, =1{1 template} other{{count} templates}}","{count, plural, =1{テンプレート 1 件} other{テンプレート {count} 件}}","{count, plural, =1{1 个模板} other{{count} 个模板}}","{count, plural, =1{1 個範本} other{{count} 個範本}}",ICU plural: keep {count}
ownedByAnyone,Owned by anyone,すべてのユーザー,任何人拥有,任何人擁有,
ownedByMe,Owned by me,自分が所有,我拥有的,我擁有的,
notOwnedByMe,Not owned by me,自分以外が所有,非我拥有的,非我擁有的,
lastModified,Last modified,最終更新日,最近修改,最近修改,
lastOpened,Last opened,最終閲覧日,最近打开,最近開啟,
titleAZ,Title (A–Z),タイトル (A–Z),标题 (A–Z),標題 (A-Z),
copyLink,Copy link,リンクをコピー,复制链接,複製連結,
categoryAll,All,すべて,全部,全部,
categoryWork,Work,仕事,工作,工作,
categoryEducation,Education,教育,教育,教育,
categoryCommunity,Community,コミュニティ,社区,社群,
categoryHealth,Health & Wellness,健康とウェルネス,健康与养生,健康與養生,
tplPrayerRequestSafety,Prayer Request for Safety and Protection,安全と保護の祈り,安全与保护祷告请求,安全與保護禱告請求,
tplPrayerRequestSafetyDesc,Submit prayer requests for safety and protection,安全と保護の祈りのリクエストを提出,提交安全与保护的祷告请求,提交安全與保護的禱告請求,
tplWorkshopEvaluation,Workshop Evaluation,ワークショップ評価,工作坊评估,工作坊評估,
tplWorkshopEvaluationDesc,Evaluate workshop effectiveness,ワークショップの効果を評価,评估工作坊的效果,評估工作坊的效果,
tplSoccerTryoutEvaluation,Soccer Tryout Evaluation,サッカー選考評価,足球选拔评估,足球選拔評估,
tplSoccerTryoutEvaluationDesc,Assess soccer tryout performance,サッカー選考のパフォーマンスを評価,评估足球选拔表现,評估足球選拔表現,
tplOralPresentationEvaluation,Oral Presentation Evaluation Form,口頭発表評価フォーム,口头演讲评估表,口頭演講評估表,
tplOralPresentationEvaluationDesc,Evaluate oral presentation skills,口頭発表スキルを評価,评估口头演讲技巧,評估口頭演講技巧,
tplPeerFeedback,Peer Feedback Form,ピアフィードバックフォーム,同伴反馈表,同儕回饋表,
tplPeerFeedbackDesc,Provide feedback to peers,ピアにフィードバックを提供,向同伴提供反馈,向同儕提供回饋,
tplPresentationFeedback,Presentation Feedback,プレゼンテーションフィードバック,演讲反馈,簡報回饋,
tplPresentationFeedbackDesc,Give feedback on presentations,プレゼンテーションにフィードバックを提供,对演讲提供反馈,對簡報提供回饋,
tplPatientFeedback,Patient Feedback Form,患者フィードバックフォーム,患者反馈表,病人回饋表,
tplPatientFeedbackDesc,Collect patient feedback on care,ケアに対する患者のフィードバックを収集,收集患者对护理的反馈,收集病人對護理的回饋,
tplChildcareRegistration,Childcare Registration Form,保育登録フォーム,托儿登记表,托兒登記表,
tplChildcareRegistrationDesc,Register children for childcare services,保育サービスに子供を登録,为孩子登记托儿服务,為孩子登記托兒服務,
tplMedicationOrder,Medication Order Form,薬剤注文フォーム,药物订购表,藥物訂購表,
tplMedicationOrderDesc,Submit medication orders,薬剤の注文を提出,提交药物订单,提交藥物訂單,
tplTeamworkCollaborationEvaluation,Teamwork & Collaboration Evaluation,チームワーク・コラボレーション評価,团队合作与协作评估,團隊合作與協作評估,
tplTeamworkCollaborationEvaluationDesc,Evaluate team collaboration skills,チームコラボレーションスキルを評価,评估团队协作能力,評估團隊協作能力,
tplTrainingDevelopmentFeedback,Training & Development Feedback Form,研修・開発フィードバックフォーム,培训与发展反馈表,培訓與發展回饋表,
tplTrainingDevelopmentFeedbackDesc,Provide feedback on training programs,研修プログラムにフィードバックを提供,对培训项目提供反馈,對培訓計畫提供回饋,
tplAnnualEmployeePerformanceReview,Annual Employee Performance Review,年次従業員パフォーマンスレビュー,年度员工绩效评估,年度員工績效評估,
tplAnnualEmployeePerformanceReviewDesc,Review employee performance annually,従業員の年次パフォーマンスをレビュー,年度员工绩效回顾,年度員工績效回顧,
useThisTemplate,Use this template,このテンプレートを使用,使用此模板,使用此範本,
failedToCopyTemplate,Failed to copy template. Please try again.,テンプレートをコピーできませんでした。もう一度お試しください。,无法复制模板，请重试。,無法複製範本，請再試一次。,
untitledForm,Untitled form,無題のフォーム,未命名表单,未命名表單,
sectionTitleOf,Section {n} of {total},セクション {n} / {total},第 {n} 小节，共 {total} 小节,第 {n} 版面，共 {total} 版面,"keep {n}, {total}"
sectionTitle,Section title,セクションのタイトル,小节标题,版面標題,
shortAnswerText,Short answer text,記述式の回答,简短回答文字,簡短答案文字,
longAnswerText,Long answer text,段落の回答,长段回答文字,長篇答案文字,
imageTitleOptional,Image title (optional),画像のタイトル（任意）,图片标题（选填）,圖片標題（選填）,
videoTitle,Video title,動画のタイトル,视频标题,影片標題,
optionLabel,Option {n},選択肢 {n},选项 {n},選項 {n},keep {n}
youTubeVideo,YouTube video,YouTube 動画,YouTube 视频,YouTube 影片,
dateFormatWithYear,MM/DD/YYYY,MM/DD/YYYY,MM/DD/YYYY,MM/DD/YYYY,
dateFormatNoYear,MM/DD,MM/DD,MM/DD,MM/DD,
timeFormatDuration,HH:MM:SS,HH:MM:SS,HH:MM:SS,HH:MM:SS,
timeFormatStandard,HH:MM,HH:MM,HH:MM,HH:MM,
googleAccount,Google Account,Google アカウント,Google 账号,Google 帳戶,
signOut,Sign out,ログアウト,退出登录,登出,
signOutTitle,Sign out?,ログアウトしますか？,退出登录？,登出？,
signOutContent,Are you sure you want to sign out of your account?,アカウントからログアウトしてもよろしいですか？,确定要退出您的账号吗？,確定要登出你的帳戶嗎？,
goPremium,Go Premium,プレミアムにアップグレード,升级高级版,升級為進階版,
goPremiumDesc,Unlock all features and remove ads,すべての機能を解除し、広告を削除,解锁所有功能并移除广告,解鎖所有功能並移除廣告,
about,About,情報,关于,關於,
privacyPolicy,Privacy Policy,プライバシーポリシー,隐私权政策,隱私權政策,
termsOfUse,Terms of Use,利用規約,使用条款,使用條款,
version,Version 1.0.0,バージョン 1.0.0,版本 1.0.0,版本 1.0.0,
language,Language,言語,语言,語言,
languageSystemDefault,System default,システムのデフォルト,跟随系统,跟隨系統,
languageEnglish,English,English,English,English,
languageJapanese,日本語,日本語,日本語,日本語,
languageSimplifiedChinese,简体中文,简体中文,简体中文,简体中文,
languageTraditionalChinese,繁體中文,繁體中文,繁體中文,繁體中文,
tabEdit,Edit,編集,编辑,編輯,
tabPreview,Preview,プレビュー,预览,預覽,
tabResponses,Responses,回答,回复,回覆,
tabSettings,Settings,設定,设置,設定,
qTypeMultipleChoice,Multiple choice,ラジオボタン,单选题,單選按鈕,
qTypeCheckboxes,Checkboxes,チェックボックス,多选题,多選題,
qTypeShortAnswer,Short answer,記述式(短文),简短回答,簡短答案,
qTypeParagraph,Paragraph,段落,段落,段落,
qTypeDropdown,Dropdown,ブルダウン,下拉列表,下拉式選單,
qTypeImage,Image,画像,图片,圖片,
qTypeVideo,Video,動画,视频,影片,
qTypeLinearScale,Linear scale,均等目盛,线性量表,線性比例,
qTypeMultipleChoiceGrid,Multiple choice grid,選択式(グリッド),单选网格,單選按鈕方格,
qTypeCheckboxGrid,Checkbox grid,チェックボックス (グリッド),多选网格,選框格線,
qTypeDate,Date,日付,日期,日期,
qTypeTime,Time,時刻,时间,時間,
qTypeInfo,Info,見出し,标题,標題,
qTypeSection,Section,セクション,小节,版面,
qTypeTitleDescription,Title & description,タイトルと説明,标题和说明,標題與說明,
addQuestion,Add question,質問を追加,添加问题,新增問題,
addImage,Add image,画像を追加,添加图片,新增圖片,
addVideo,Add video,動画を追加,添加视频,新增影片,
addInfo,Add info,見出しを追加,添加标题,新增標題,
addSection,Add section,セクションを追加,添加小节,新增版面,
addYouTubeVideo,Add YouTube video,YouTube 動画を追加,添加 YouTube 视频,新增 YouTube 影片,
pasteYouTubeUrl,Paste YouTube URL here,YouTube の URL を貼り付け,在此粘贴 YouTube 链接,請在此貼上 YouTube 連結,
clickToUploadImage,Click to upload image,クリックして画像をアップロード,点击上传图片,點擊上傳圖片,
pasteYouTubeVideoUrl,Paste YouTube video URL,YouTube 動画の URL を貼り付け,粘贴 YouTube 视频链接,貼上 YouTube 影片連結,
saving,Saving...,保存中…,保存中…,儲存中…,
formSaved,Form saved! Link copied to clipboard.,フォームを保存しました！リンクをクリップボードにコピーしました。,表单已保存！链接已复制到剪贴板。,表單已儲存！連結已複製到剪貼簿。,
formSavedWithWarnings,Form saved! Link copied. {warnings},フォームを保存しました！リンクをコピーしました。{warnings},表单已保存！链接已复制。{warnings},表單已儲存！連結已複製。{warnings},keep {warnings}
failedToSaveForm,Failed to save form.,フォームを保存できませんでした。,无法保存表单。,無法儲存表單。,
failedToLoadForm,Failed to load form.,フォームを読み込めませんでした。,无法加载表单。,無法載入表單。,
saveToPreview,Save to preview,保存してプレビュー,保存以预览,儲存以預覽,
saveForm,Save form,フォームを保存,保存表单,儲存表單,
saveTheFormFirst,Save the form first to get a link,リンクを取得するには、まずフォームを保存してください,请先保存表单以获取链接,請先儲存表單以取得連結,
saveBeforePublishing,Please save the form first before publishing.,公開する前にフォームを保存してください。,请先保存表单再发布。,請先儲存表單再發佈。,
unsavedChanges,Unsaved changes,未保存の変更,未保存的更改,未儲存的變更,
unsavedChangesBackDesc,You have unsaved changes. Do you want to save before leaving?,未保存の変更があります。終了する前に保存しますか？,您有未保存的更改。离开前要保存吗？,你有未儲存的變更。離開前要儲存嗎？,
unsavedChangesPreviewDesc,Save your form to see the latest preview of your changes.,最新のプレビューを表示するには、フォームを保存してください。,请保存表单以预览最新的更改。,請儲存表單以預覽最新的變更。,
dontSave,Don't save,保存しない,不保存,不儲存,
untitledQuestion,Untitled Question,無題の質問,未命名问题,未命名問題,
formTitle,Form title,フォームのタイトル,表单标题,表單標題,
formDescription,Form description,フォームの説明,表单说明,表單說明,
addOption,Add option,選択肢を追加,添加选项,新增選項,
columnN,Column {n},列 {n},列 {n},欄 {n},keep {n}
rowN,Row {n},行 {n},行 {n},列 {n},keep {n}
addColumn,Add column,列を追加,添加列,新增欄,
addRow,Add row,行を追加,添加行,新增列,
minValue,Min value,最小値,最小值,最小值,
maxValue,Max value,最大値,最大值,最大值,
labelOptional,Label (optional),ラベル（任意）,标签（选填）,標籤（選填）,
showDescription,Show description,説明を表示,显示说明,顯示說明,
includeYear,Include year,年を含める,包含年份,包含年份,
duration,Duration,所要時間,时长,時長,
tooltipDragToReorder,Drag to reorder question,ドラッグして並べ替え,拖动以重新排序问题,拖曳以重新排序問題,
tooltipCopyLink,Copy Link,リンクをコピー,复制链接,複製連結,
tooltipPublished,Published,公開済み,已发布,已發佈,
tooltipPublish,Publish,公開,发布,發佈,
tooltipSave,Save,保存,保存,儲存,
tooltipDuplicate,Duplicate,複製,复制,複製,
tooltipDelete,Delete,削除,删除,刪除,
tooltipMoreOptions,More options,その他のオプション,更多选项,更多選項,
tooltipAddImageToQuestion,Add image to question,質問に画像を追加,在问题中添加图片,在問題中新增圖片,
tooltipExportXlsx,Export as .xlsx,.xlsx としてエクスポート,导出为 .xlsx,匯出為 .xlsx,
tooltipExportCsv,Export as .csv,.csv としてエクスポート,导出为 .csv,匯出為 .csv,
tooltipOpenLinkedSheet,Open linked Google Sheet,リンクされた Google スプレッドシートを開く,打开已关联的 Google 表格,開啟已連結的 Google 試算表,
tooltipLinkToSheet,Link to Google Sheet,Google スプレッドシートにリンク,关联 Google 表格,連結 Google 試算表,
tooltipRemoveEditor,Remove editor,編集者を削除,移除编辑者,移除編輯者,
noPreviewAvailable,No preview available,プレビューは利用できません,没有可用的预览,沒有可用的預覽,
noPreviewDesc,Save your form first to see a live preview of how it looks to respondents.,回答者に表示される内容をプレビューするには、まずフォームを保存してください。,请先保存表单，才能预览回复者看到的样子。,請先儲存表單，才能預覽回覆者看到的樣貌。,
saveYourFormFirst,Save your form first,まずフォームを保存してください,请先保存表单,請先儲存表單,
needSaveForResponses,You need to save your form before you can view responses.,回答を表示するには、まずフォームを保存する必要があります。,您需要先保存表单才能查看回复。,你需要先儲存表單才能查看回覆。,
noResponsesYet,No responses yet,回答はまだありません,还没有回复,還沒有回覆,
noResponsesDesc,Responses will appear here once people submit your form.,フォームが送信されると、ここに回答が表示されます。,有人提交您的表单后，回复将显示在这里。,當有人提交你的表單後，回覆會顯示喺呢度。,
shareThisForm,Share this form,このフォームを共有,分享此表单,分享此表單,
responseSubSummary,Summary,概要,摘要,摘要,
responseSubQuestion,Question,質問,问题,問題,
responseSubIndividual,Individual,個別,个别,個別,
nResponses,"{count, plural, =1{1 response} other{{count} responses}}","{count, plural, =1{回答 1 件} other{回答 {count} 件}}","{count, plural, =1{1 则回复} other{{count} 则回复}}","{count, plural, =1{1 則回覆} other{{count} 則回覆}}",ICU plural: keep {count}
noAnswersYet,No answers yet.,回答はまだありません。,还没有回答。,還沒有回答。,
noGridData,No grid data.,グリッドデータがありません。,没有网格数据。,沒有矩陣資料。,
andNMore,... and {n} more,…他 {n} 件,…以及其他 {n} 个,…以及其他 {n} 個,keep {n}
noQuestionsFound,No questions found.,質問が見つかりません。,找不到问题。,找不到問題。,
questionLabel,Question:,質問：,问题：,問題：,
questionN,Question {n},質問 {n},问题 {n},問題 {n},keep {n}
noResponses,No responses.,回答がありません。,没有回复。,沒有回覆。,
responseNOfTotal,{n} of {total},{n} / {total},第 {n} 个，共 {total} 个,第 {n} 個，共 {total} 個,"keep {n}, {total}"
submittedTime,Submitted: {time},送信日時：{time},提交时间：{time},提交時間：{time},keep {time}
responseN,Response {n},回答 {n},回复 {n},回覆 {n},keep {n}
noAnswer,No answer,未回答,未回答,未回答,
couldNotOpenYouTube,Could not open YouTube.,YouTube を開けませんでした。,无法打开 YouTube。,無法開啟 YouTube。,
exportAs,Export as {format},{format} としてエクスポート,导出为 {format},匯出為 {format},keep {format}
enterFileName,Enter a file name for the export:,エクスポートするファイル名を入力：,请输入导出文件名：,請輸入匯出檔案名稱：,
fileName,File name,ファイル名,文件名,檔案名稱,
exportFailed,Export failed: {error},エクスポートに失敗しました：{error},导出失败：{error},匯出失敗：{error},keep {error}
responseId,Response ID,回答 ID,回复 ID,回覆 ID,
createTime,Create Time,作成日時,创建时间,建立時間,
lastSubmittedTime,Last Submitted Time,最終送信日時,最近提交时间,最近提交時間,
responsesSheet,Responses,回答,回复,回覆,
exportXlsx,XLSX,XLSX,XLSX,XLSX,
exportCsv,CSV,CSV,CSV,CSV,
sheets,Sheets,Sheets,Sheets,Sheets,
linkedToSheet,Linked to Sheet,スプレッドシートにリンク済み,已关联表格,已連結試算表,
responsesAutoSaved,Responses are automatically saved to this spreadsheet:,回答はこのスプレッドシートに自動保存されます：,回复会自动保存到此电子表格：,回覆會自動儲存到此試算表：,
linkedSpreadsheet,Linked Spreadsheet,リンクされたスプレッドシート,已关联的电子表格,已連結的試算表,
tapToOpenInBrowser,Tap to open in browser,タップしてブラウザで開く,点击在浏览器中打开,點擊在瀏覽器中開啟,
openSheet,Open Sheet,シートを開く,打开表格,開啟試算表,
linkToGoogleSheet,Link to Google Sheet,Google スプレッドシートにリンク,关联 Google 表格,連結 Google 試算表,
linkSheetDesc,Form responses will be automatically saved to this spreadsheet. A new sheet tab will be created with all responses.,フォームの回答はこのスプレッドシートに自動保存されます。すべての回答を含む新しいシートが作成されます。,表单回复会自动保存到此电子表格。将创建一个包含所有回复的新工作表。,表單回覆會自動儲存到此試算表。會建立一個新的工作表分頁存放所有回覆。,
createAndLink,Create & Link,作成してリンク,创建并关联,建立並連結,
spreadsheetName,Spreadsheet name,スプレッドシート名,电子表格名称,試算表名稱,
unlinkSheetTitle,Unlink Sheet?,シートのリンクを解除しますか？,取消关联表格？,取消連結試算表？,
unlinkSheetDesc,New form responses will no longer be saved to this spreadsheet. Existing responses in the sheet will not be deleted.,新しいフォームの回答はこのスプレッドシートに保存されなくなります。既存の回答は削除されません。,新的表单回复将不再保存到此电子表格。表格中现有的回复不会被删除。,新的表單回覆將不再儲存到此試算表。試算表中現有的回覆不會被刪除。,
sheetUnlinked,Sheet unlinked successfully.,シートのリンクを解除しました。,表格已成功取消关联。,試算表已成功取消連結。,
failedToCreateSheet,Failed to create spreadsheet. Please try again.,スプレッドシートを作成できませんでした。もう一度お試しください。,无法创建电子表格，请重试。,無法建立試算表，請再試一次。,
formLinkedToSheet,"Form linked to ""{name}"" successfully!",フォームを「{name}」にリンクしました！,表单已成功关联到「{name}」！,表單已成功連結到「{name}」！,keep {name}
failedToLink,Failed to link: {error},リンクに失敗しました：{error},无法关联：{error},無法連結：{error},keep {error}
failedToUnlink,Failed to unlink: {error},リンク解除に失敗しました：{error},无法取消关联：{error},無法取消連結：{error},keep {error}
errorWithMessage,Error: {message},エラー：{message},错误：{message},錯誤：{message},keep {message}
publishRequired,Publish Required,公開が必要です,需要发布,需要發佈,
publishRequiredDesc,You need to publish this form before it can accept responses. Would you like to publish it now?,回答を受け付けるには、このフォームを公開する必要があります。今すぐ公開しますか？,您需要先发布此表单才能接收回复。是否现在发布？,你需要先發佈此表單才能接收回覆。你想現在發佈嗎？,
formPublished,Form published and now accepting responses!,フォームを公開し、回答を受け付けています！,表单已发布，现在可以接收回复！,表單已發佈，現在可以接收回覆！,
failedToPublish,Failed to publish: {error},公開に失敗しました：{error},无法发布：{error},無法發佈：{error},keep {error}
formUnpublished,Form unpublished,フォームの公開を停止しました,表单已取消发布,表單已取消發佈,
formIsPublished,Form is published,フォームは公開中です,表单已发布,表單已發佈,
copyFormLink,Copy form link,フォームリンクをコピー,复制表单链接,複製表單連結,
unpublishForm,Unpublish form,フォームの公開を停止,取消发布表单,取消發佈表單,
unpublishFormDesc,Form will stop accepting responses,フォームは回答を受け付けなくなります,表单将停止接收回复,表單將停止接收回覆,
settingsResponses,Responses,回答,回复,回覆,
settingsPresentation,Presentation,プレゼンテーション,呈现方式,呈現方式,
settingsEditors,Editors,編集者,编辑者,編輯者,
